[ ERROR_CONTEXT : pPack->StartY : ErrCode(334)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndX : ErrCode(176)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndY : ErrCode(324)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : Header : ErrCode(16)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartX : ErrCode(176)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartY : ErrCode(324)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndX : ErrCode(188)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndY : ErrCode(308)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : Header Recv : ErrCode(16)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartX : ErrCode(176)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartY : ErrCode(324)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndX : ErrCode(188)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndY : ErrCode(308)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : Header : ErrCode(16)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartX : ErrCode(188)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartY : ErrCode(308)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndX : ErrCode(193)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndY : ErrCode(301)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : Header : ErrCode(16)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartX : ErrCode(193)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartY : ErrCode(301)    |    ERROR_TIME : 17:04:36 ] 
